,win,loss,76人,公牛,凯尔特人,勇士,国王,太阳,奇才,尼克斯,开拓者,快船,掘金,无主队,森林狼,步行者,活塞,湖人,火箭,灰熊,热火,爵士,独行侠,猛龙,篮网,老鹰,雄鹿,雷霆,马刺,骑士,魔术,鹈鹕,黄蜂
0,骑士,奇才,3.0,1.0,4.0,4.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,903.0,1.0,0.0,0.0,37.0,43.0,0.0,11.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,135.0,0.0,0.0,90.0
1,掘金,森林狼,0.0,1.0,33.0,26.0,0.0,1.0,1.0,10.0,0.0,3.0,4.0,612.0,16.0,3.0,1.0,26.0,61.0,2.0,2.0,3.0,8.0,8.0,1.0,0.0,2.0,21.0,54.0,46.0,0.0,0.0,0.0
2,火箭,开拓者,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,667.0,1.0,0.0,1.0,11.0,160.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,14.0,11.0,0.0,0.0,2.0
3,步行者,勇士,2.0,2.0,1.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,390.0,0.0,5.0,0.0,3.0,37.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,12.0,0.0,21.0,0.0,1.0,0.0
4,篮网,雄鹿,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0
5,爵士,快船,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,135.0,0.0,0.0,1.0,4.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
6,掘金,雄鹿,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,432.0,2.0,0.0,0.0,11.0,13.0,0.0,14.0,6.0,1.0,0.0,1.0,0.0,8.0,31.0,13.0,1.0,0.0,0.0,0.0
7,森林狼,勇士,0.0,1.0,3.0,48.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,649.0,17.0,2.0,0.0,9.0,59.0,0.0,6.0,0.0,2.0,1.0,0.0,3.0,8.0,15.0,16.0,20.0,0.0,0.0,0.0
8,公牛,黄蜂,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,36.0
9,湖人,马刺,0.0,2.0,2.0,18.0,0.0,8.0,0.0,1.0,2.0,1.0,1.0,572.0,3.0,0.0,0.0,95.0,46.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,64.0,13.0,0.0,0.0,2.0
10,鹈鹕,灰熊,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0
11,马刺,火箭,15.0,0.0,6.0,18.0,13.0,0.0,0.0,2.0,1.0,5.0,0.0,1484.0,0.0,1.0,2.0,16.0,204.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,7.0,162.0,10.0,1.0,0.0,2.0
12,勇士,雷霆,2.0,0.0,9.0,82.0,1.0,0.0,0.0,13.0,0.0,2.0,0.0,1214.0,1.0,0.0,1.0,28.0,122.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,56.0,42.0,40.0,1.0,1.0,1.0
13,火箭,奇才,0.0,2.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,331.0,4.0,0.0,0.0,4.0,162.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
14,猛龙,凯尔特人,0.0,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1.0,0.0,0.0,1.0,15.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,30.0,0.0,0.0,0.0
